ID,BID,UID,ST,SX,SY,ET,EX,EY,EC,DU,DS
1,61084,1183,2020/8/1 0:43,121.387,31.103,2020/8/1 0:53,121.393,31.099,7,10,724.116199
2,64570,4622,2020/8/1 1:02,121.534,31.321,2020/8/1 1:18,121.513,31.311,0,16,2285.849418
3,104609,6665,2020/8/1 1:25,121.539,31.328,2020/8/1 1:27,121.537,31.33,7,2,292.243314
4,76457,7741,2020/8/1 2:20,121.402,31.237,2020/8/1 2:40,121.429,31.249,7,20,2895.797676
5,124943,1755,2020/8/1 4:08,121.391,31.28,2020/8/1 4:43,121.388,31.277,5,35,438.462215
6,96457,6822,2020/8/1 5:46,121.493,31.217,2020/8/1 6:02,121.479,31.224,5,16,1543.319689
7,13590,4428,2020/8/1 6:12,121.45,31.186,2020/8/1 6:20,121.442,31.178,0,8,1169.727273
8,110846,895,2020/8/1 6:21,121.525,31.22,2020/8/1 6:32,121.529,31.226,3,11,766.681439
9,121867,719,2020/8/1 6:33,121.482,31.282,2020/8/1 6:38,121.474,31.283,1,5,769.798934
10,84024,5949,2020/8/1 6:40,121.453,31.235,2020/8/1 7:03,121.457,31.237,5,23,440.894989
11,40524,3356,2020/8/1 6:45,121.523,31.257,2020/8/1 7:00,121.53,31.275,0,15,2104.13745
12,72819,6709,2020/8/1 6:50,121.541,31.305,2020/8/1 7:18,121.531,31.321,2,28,2013.255745
13,43777,2421,2020/8/1 6:54,121.537,31.331,2020/8/1 6:58,121.538,31.324,5,4,781.939731
14,1915,3691,2020/8/1 7:02,121.513,31.331,2020/8/1 7:05,121.516,31.33,0,3,306.292184
15,113387,2750,2020/8/1 7:09,121.35,31.313,2020/8/1 7:13,121.347,31.316,0,4,438.392904
16,64873,1569,2020/8/1 7:13,121.438,31.269,2020/8/1 7:28,121.452,31.278,0,15,1665.304082
17,30171,8017,2020/8/1 7:15,121.45,31.186,2020/8/1 7:24,121.441,31.193,5,9,1156.816479
18,73076,3289,2020/8/1 7:18,121.503,31.273,2020/8/1 7:27,121.511,31.281,5,9,1169.240272
19,78854,802,2020/8/1 7:23,121.535,31.196,2020/8/1 7:38,121.533,31.182,1,15,1563.880105
20,72853,3332,2020/8/1 7:28,121.389,31.252,2020/8/1 7:41,121.406,31.254,5,13,1634.383048
21,104613,1214,2020/8/1 7:33,121.524,31.263,2020/8/1 7:48,121.514,31.278,5,15,1916.477293
22,93960,1792,2020/8/1 7:40,121.313,31.292,2020/8/1 7:46,121.322,31.296,7,6,964.858052
23,56747,4371,2020/8/1 7:42,121.475,31.325,2020/8/1 7:50,121.485,31.319,2,8,1161.256229
24,35201,5143,2020/8/1 7:44,121.488,31.337,2020/8/1 7:59,121.506,31.329,2,15,1929.091591
25,75636,1419,2020/8/1 7:47,121.36,31.218,2020/8/1 7:52,121.35,31.22,3,5,978.315105
26,53823,6293,2020/8/1 7:49,121.364,31.213,2020/8/1 7:57,121.36,31.217,5,8,584.779112
27,46736,5866,2020/8/1 7:53,121.451,31.293,2020/8/1 8:03,121.439,31.297,3,10,1225.567231
28,62745,5712,2020/8/1 7:55,121.413,31.141,2020/8/1 8:16,121.408,31.177,2,21,4019.768234
29,103238,7148,2020/8/1 7:58,121.446,31.126,2020/8/1 8:42,121.428,31.182,0,44,6441.691314
30,75135,5958,2020/8/1 8:01,121.482,31.221,2020/8/1 8:20,121.469,31.231,0,19,1662.366958
31,10681,5170,2020/8/1 8:05,121.413,31.246,2020/8/1 8:15,121.429,31.233,5,10,2097.809294
