路段编码,路名,区属,类型,段起点,段止点,等级,长度,路段面积,人行道面积
BSS000000095,爱辉路,宝山,路段,呼玛路,长江西路,支路,423,10029,4164
BSS000000236,爱辉路,宝山,路段,共江路,一二八纪念路,支路,460,9747,3407
BSS000000237,爱辉路,宝山,路段,蕰藻浜,呼兰路,支路,334,7248,2718
BSS000000238,爱辉路,宝山,路段,呼兰路,呼玛路,支路,487,10920,4095
BSS000000239,爱辉路,宝山,路段,长江西路,共江路,支路,612,13650,5250
BSS000000234,安达路,宝山,路段,鹤岗路,南泗塘河,支路,474,9086,2700
BSS000000235,安达路,宝山,路段,逸仙路,鹤岗路,支路,498,5902,1628
BSS000000232,安家路,宝山,路段,德都路,庆安路,支路,191,4585,1720
BSS000020411,安淞路,宝山,路段,安达路247号,安达路,支路,200,2171,553
BSS000020408,八棉新村,宝山,路段,淞滨支路,弄内,支路,289,901,0
BSS000020396,八棉一村通道,宝山,路段,淞兴西路,淞滨路,支路,161,563,0
BSS000020736,白沙园路,宝山,路段,江杨北路,杨泰路,支路,1108,25570.5,6648
BSS000020737,白沙园路,宝山,路段,杨泰路,月城路,支路,474,10614,2844
BSS000020451,班溪路,宝山,路段,淞兴路,淞浦路,支路,168,2018,968
BSS000020401,班溪路,宝山,路段,淞滨路,淞兴路,支路,157,3185,1932
BSS000000223,宝东路,宝山,路段,宝杨路,海江路,支路,384,5185,1667
BSS000000225,宝东路,宝山,路段,海江路,永乐路,支路,321,4883,1523
BSS000000227,宝东路,宝山,路段,永乐路,双城路,支路,253,3769,1309
BSS000020668,宝钢六村北通道,宝山,路段,盘古路,市河六村桥,支路,117,526.5,0
BSS000020669,宝钢三村通道,宝山,路段,宝钢三村大门,牡丹江路,支路,82.4,458,0
BSS000020670,宝钢十一村通道,宝山,路段,盘古路,团结路,支路,138,704,0
BSS000020671,宝钢五村通道,宝山,路段,友谊路,宝钢五村,支路,68,493,119
BSS000020444,宝林八村通道,宝山,路段,东林路,密山东路,支路,449,2831,571
BSS000020525,宝林二小通道,宝山,路段,北翼商业街通道,宝林路,支路,100,905,370
BSS000020672,宝林六村通道,宝山,路段,宝杨路,宝林六村垃圾房,支路,97,485,0
BSS000000255,宝林路,宝山,路段,牡丹江路,宝杨路(西),支路,580,9823,4078
BSS000000257,宝林路,宝山,路段,东林路,友谊支路,支路,493,7904,3221
BSS000000250,宝林路,宝山,路段,宝杨路(东),子青路,支路,346,5160,2105
BSS000000231,宝林路,宝山,路段,友谊支路,牡丹江路,支路,527,8346,3408
BSS000000259,宝林路,宝山,路段,子青路,东林路,支路,280,4313,1867
BSS000020533,宝林路45号通道,宝山,路段,宝林路,区政府部门大院,支路,210,1890,0
BSS000020649,宝林七村通道,宝山,路段,宝林路,密山东路,支路,391,3182.5,1213
BSS000020673,宝林一村通道,宝山,路段,宝杨路,宝林路,支路,318,1832,242
BSS000000241,宝泉路,宝山,路段,龙镇路,四元路,支路,477,9259,4386
BSS000020743,宝山区房地产交易中心北辅通道,宝山,路段,宝杨路,岗亭,支路,100,738,108
BSS000020744,宝山区房地产交易中心通道A,宝山,路段,宝山区房地产交易中心北辅通道,宝山区房地产交易中心通道B,支路,180,1978,448
BSS000020745,宝山区房地产交易中心通道B,宝山,路段,宝山区房地产交易中心通道A,宝山区房地产交易中心通道C,支路,188.4,1266.4,0
BSS000020746,宝山区房地产交易中心通道C,宝山,路段,宝山区房地产交易中心通道B,宝杨路,支路,76.3,710,0
BSS000020747,宝山区房地产交易中心通道D,宝山,路段,宝山区房地产交易中心通道E,宝杨路,支路,50.6,506.5,0
BSS000020748,宝山区房地产交易中心通道E,宝山,路段,宝山区房地产交易中心通道C,宝山区房地产交易中心通道D,支路,65,390,0
