ID,BID,UID,ST,SX,SY,ET,EX,EY,DS,DU,class
1,79699,759,2016/8/1 0:23,121.52,31.309,2016/8/1 0:32,121.525,31.316,867.65,9,3
2,33279,1440,2016/8/1 0:25,121.505,31.294,2016/8/1 0:40,121.517,31.309,2967.41,15,6
3,3060,5463,2016/8/1 0:26,121.375,31.107,2016/8/1 0:41,121.387,31.103,1827.94,15,3
4,43119,4666,2016/8/1 0:32,121.528,31.263,2016/8/1 0:52,121.531,31.282,3067.31,20,5
5,116238,2193,2016/8/1 0:33,121.434,31.249,2016/8/1 0:46,121.427,31.26,1819.23,13,5
6,115749,5114,2016/8/1 0:35,121.436,31.136,2016/8/1 0:40,121.442,31.135,798.27,5,0
7,61084,1183,2016/8/1 0:43,121.387,31.103,2016/8/1 0:53,121.393,31.099,1438.92,10,5
8,123910,2154,2016/8/1 0:44,121.495,31.216,2016/8/1 0:52,121.499,31.21,794.22,8,5
9,36158,6667,2016/8/1 0:45,121.528,31.266,2016/8/1 1:21,121.51,31.253,2788.91,36,7
10,26060,4756,2016/8/1 0:46,121.424,31.225,2016/8/1 1:17,121.454,31.223,4576.51,31,4
11,112334,7066,2016/8/1 0:53,121.427,31.172,2016/8/1 1:11,121.434,31.173,909.56,18,5
12,101533,3364,2016/8/1 0:54,121.379,31.254,2016/8/1 1:05,121.374,31.241,1310.07,11,1
13,104356,3196,2016/8/1 1:00,121.386,31.314,2016/8/1 1:09,121.375,31.316,1456.38,9,7
14,64570,4622,2016/8/1 1:02,121.534,31.321,2016/8/1 1:18,121.513,31.311,2860.44,16,0
15,113094,3250,2016/8/1 1:06,121.538,31.271,2016/8/1 1:26,121.513,31.266,3740.14,20,0
16,121853,5432,2016/8/1 1:11,121.453,31.21,2016/8/1 1:29,121.434,31.237,4724.06,18,5
17,26116,5069,2016/8/1 1:11,121.475,31.33,2016/8/1 1:24,121.486,31.338,2129.33,13,7
18,823,6615,2016/8/1 1:13,121.473,31.202,2016/8/1 1:21,121.465,31.207,1253.49,8,5
19,41445,6172,2016/8/1 1:18,121.398,31.232,2016/8/1 1:28,121.41,31.235,1770.28,10,5
20,50954,2077,2016/8/1 1:19,121.436,31.318,2016/8/1 1:39,121.44,31.302,1596.9,20,5
21,78767,6378,2016/8/1 1:21,121.518,31.31,2016/8/1 1:24,121.513,31.311,614.79,3,0
23,113275,3084,2016/8/1 1:43,121.411,31.289,2016/8/1 2:01,121.399,31.281,2031.92,18,5
24,124887,4161,2016/8/1 1:51,121.459,31.195,2016/8/1 1:55,121.462,31.198,508.25,4,7
25,108520,1820,2016/8/1 1:51,121.449,31.279,2016/8/1 2:14,121.448,31.28,652.84,23,7
26,98978,1312,2016/8/1 2:02,121.353,31.284,2016/8/1 2:08,121.348,31.289,846.18,6,3
27,102468,77,2016/8/1 2:16,121.545,31.272,2016/8/1 2:21,121.538,31.273,982.56,5,5
28,13832,5553,2016/8/1 2:18,121.424,31.183,2016/8/1 2:22,121.427,31.177,817.2,4,4
29,76457,7741,2016/8/1 2:20,121.402,31.237,2016/8/1 2:40,121.429,31.249,4470.41,20,5
30,76460,7949,2016/8/1 2:28,121.482,31.207,2016/8/1 2:38,121.494,31.211,1553.07,10,5
31,124880,7447,2016/8/1 2:28,121.462,31.17,2016/8/1 3:10,121.459,31.192,3779.12,42,4
32,66410,1662,2016/8/1 2:35,121.449,31.334,2016/8/1 2:46,121.458,31.331,1292.31,11,2
33,61125,3839,2016/8/1 3:07,121.531,31.328,2016/8/1 3:49,121.532,31.331,1670.72,42,5
34,3982,4146,2016/8/1 3:10,121.364,31.213,2016/8/1 3:18,121.358,31.208,1368.21,8,5
35,44165,7971,2016/8/1 3:17,121.475,31.206,2016/8/1 3:22,121.476,31.2,861.46,5,0
36,124937,3697,2016/8/1 3:46,121.453,31.334,2016/8/1 3:55,121.45,31.325,1214.35,9,7
37,124943,1755,2016/8/1 4:08,121.391,31.28,2016/8/1 4:43,121.388,31.277,2018.36,35,5
39,26632,7731,2016/8/1 4:53,121.43,31.256,2016/8/1 5:01,121.438,31.255,1136.98,8,4
40,124171,4296,2016/8/1 5:00,121.35,31.192,2016/8/1 5:19,121.348,31.209,2097.82,19,0
41,121909,5579,2016/8/1 5:04,121.396,31.281,2016/8/1 5:11,121.403,31.285,994.15,7,5
42,120795,7086,2016/8/1 5:12,121.54,31.306,2016/8/1 5:25,121.516,31.3,3086.64,13,5
43,55648,1464,2016/8/1 5:33,121.489,31.325,2016/8/1 5:38,121.491,31.331,571.53,5,7
44,119267,7333,2016/8/1 5:39,121.421,31.201,2016/8/1 5:44,121.411,31.2,1116.21,5,0
45,92291,1935,2016/8/1 5:46,121.312,31.235,2016/8/1 5:52,121.32,31.24,1136.12,6,0
46,96457,6822,2016/8/1 5:46,121.493,31.217,2016/8/1 6:02,121.479,31.224,2514.77,16,1
47,71867,4256,2016/8/1 5:59,121.486,31.314,2016/8/1 6:04,121.485,31.319,402.02,5,2
48,123667,4459,2016/8/1 6:02,121.518,31.308,2016/8/1 6:25,121.484,31.304,4017.42,23,5
49,46315,4563,2016/8/1 6:06,121.433,31.143,2016/8/1 6:14,121.431,31.152,1353.8,8,7
50,107771,5437,2016/8/1 6:10,121.389,31.276,2016/8/1 6:16,121.392,31.268,976.69,6,4
51,38807,7254,2016/8/1 6:11,121.456,31.188,2016/8/1 6:18,121.446,31.187,1403.62,7,3
52,94939,5316,2016/8/1 6:12,121.531,31.288,2016/8/1 6:23,121.532,31.28,1022.34,11,5
53,13590,4428,2016/8/1 6:12,121.45,31.186,2016/8/1 6:20,121.442,31.178,1355.16,8,0
54,120378,5843,2016/8/1 6:13,121.492,31.223,2016/8/1 7:19,121.467,31.207,4628.53,66,4
55,124988,2894,2016/8/1 6:13,121.494,31.29,2016/8/1 6:42,121.51,31.261,4817.13,29,0
56,118921,6287,2016/8/1 6:14,121.48,31.199,2016/8/1 6:17,121.477,31.204,580.74,3,3
57,107608,4123,2016/8/1 6:14,121.521,31.309,2016/8/1 6:21,121.531,31.306,1287.84,7,7
58,79464,7701,2016/8/1 6:17,121.54,31.3,2016/8/1 6:24,121.533,31.295,1142.91,7,5
60,122570,6047,2016/8/1 6:19,121.523,31.27,2016/8/1 6:24,121.519,31.274,856.82,5,1
61,110846,895,2016/8/1 6:21,121.525,31.22,2016/8/1 6:32,121.529,31.226,1305.51,11,3
62,115995,6339,2016/8/1 6:22,121.496,31.21,2016/8/1 6:28,121.504,31.211,948.71,6,0
63,77152,1481,2016/8/1 6:25,121.471,31.292,2016/8/1 6:42,121.485,31.302,2095.87,17,3
64,117422,4208,2016/8/1 6:25,121.522,31.283,2016/8/1 6:36,121.518,31.275,729.03,11,0
65,84828,6480,2016/8/1 6:27,121.431,31.335,2016/8/1 6:35,121.438,31.326,1257.93,8,0
66,66443,2103,2016/8/1 6:28,121.526,31.254,2016/8/1 7:18,121.472,31.209,10074.58,50,4
67,5404,1357,2016/8/1 6:28,121.501,31.219,2016/8/1 6:37,121.504,31.21,1302.76,9,0
68,61950,7359,2016/8/1 6:31,121.554,31.287,2016/8/1 6:39,121.553,31.279,1245.28,8,3
69,121867,719,2016/8/1 6:33,121.482,31.282,2016/8/1 6:38,121.474,31.283,948.68,5,5
70,48183,2297,2016/8/1 6:34,121.382,31.187,2016/8/1 6:42,121.381,31.194,1479.83,8,0
71,26137,7687,2016/8/1 6:36,121.433,31.123,2016/8/1 6:44,121.441,31.135,1722.25,8,1
72,84200,7733,2016/8/1 6:37,121.487,31.282,2016/8/1 6:41,121.49,31.277,624.7,4,0
73,90526,4473,2016/8/1 6:37,121.402,31.183,2016/8/1 6:43,121.409,31.18,1185.29,6,7
74,69636,6594,2016/8/1 6:38,121.541,31.318,2016/8/1 6:44,121.538,31.313,964.19,6,5
75,53697,7662,2016/8/1 6:38,121.493,31.307,2016/8/1 6:49,121.514,31.299,3254.65,11,7
76,84024,5949,2016/8/1 6:40,121.453,31.235,2016/8/1 7:03,121.457,31.237,849.64,23,5
77,53029,2811,2016/8/1 6:40,121.516,31.311,2016/8/1 6:45,121.508,31.312,948.73,5,0
78,114858,3365,2016/8/1 6:41,121.376,31.31,2016/8/1 6:48,121.373,31.322,1029.45,7,5
79,9323,3261,2016/8/1 6:42,121.538,31.33,2016/8/1 6:49,121.531,31.323,1409.4,7,0
80,118120,3817,2016/8/1 6:42,121.428,31.196,2016/8/1 8:21,121.433,31.201,669.87,99,4
81,61207,5873,2016/8/1 6:43,121.449,31.239,2016/8/1 6:50,121.442,31.233,1127.69,7,7
82,38100,7640,2016/8/1 6:43,121.405,31.27,2016/8/1 6:50,121.402,31.264,681.99,7,0
84,40524,3356,2016/8/1 6:45,121.523,31.257,2016/8/1 7:00,121.53,31.275,2580.25,15,0
85,61669,6945,2016/8/1 6:45,121.419,31.159,2016/8/1 6:52,121.418,31.167,575.56,7,3
86,926,7447,2016/8/1 6:47,121.459,31.192,2016/8/1 6:50,121.455,31.19,561.46,3,5
87,93790,5798,2016/8/1 6:47,121.494,31.315,2016/8/1 6:57,121.485,31.319,1350.75,10,2
88,56659,2592,2016/8/1 6:49,121.425,31.345,2016/8/1 7:01,121.433,31.354,1591.78,12,3
89,33663,5090,2016/8/1 6:49,121.532,31.329,2016/8/1 6:55,121.534,31.324,692.45,6,7
90,102783,5782,2016/8/1 6:49,121.466,31.31,2016/8/1 6:58,121.449,31.305,2317.87,9,1
91,65392,4581,2016/8/1 6:50,121.54,31.328,2016/8/1 6:54,121.538,31.322,553.79,4,0
92,72819,6709,2016/8/1 6:50,121.541,31.305,2016/8/1 7:18,121.531,31.321,3196.87,28,0
93,58836,6929,2016/8/1 6:51,121.533,31.268,2016/8/1 6:57,121.529,31.274,750.66,6,5
94,63782,95,2016/8/1 6:52,121.531,31.256,2016/8/1 7:07,121.529,31.274,2653.35,15,5
95,24220,3062,2016/8/1 6:52,121.503,31.311,2016/8/1 6:59,121.507,31.313,1133.3,7,0
96,45614,6575,2016/8/1 6:52,121.414,31.2,2016/8/1 7:05,121.413,31.187,1153.69,13,1
98,43777,2421,2016/8/1 6:54,121.537,31.331,2016/8/1 6:58,121.538,31.324,920.27,4,5
99,57451,7566,2016/8/1 6:54,121.435,31.224,2016/8/1 7:02,121.444,31.226,1422.55,8,2
100,29680,5562,2016/8/1 6:54,121.497,31.316,2016/8/1 7:03,121.506,31.321,5369.42,9,3
101,37756,744,2016/8/1 6:55,121.501,31.335,2016/8/1 7:03,121.491,31.331,1540.39,8,7
102,104990,609,2016/8/1 6:57,121.524,31.328,2016/8/1 7:08,121.507,31.329,1950.63,11,0
103,116605,1440,2016/8/1 6:59,121.514,31.303,2016/8/1 7:09,121.525,31.301,1529.78,10,2
104,98527,1872,2016/8/1 6:59,121.37,31.129,2016/8/1 7:05,121.364,31.132,957.63,6,6
105,123590,5790,2016/8/1 6:59,121.431,31.303,2016/8/1 7:12,121.441,31.297,1979.03,13,3
106,14805,5241,2016/8/1 7:01,121.48,31.311,2016/8/1 7:08,121.486,31.307,900.47,7,0
107,1915,3691,2016/8/1 7:02,121.513,31.331,2016/8/1 7:05,121.516,31.33,687.27,3,5
108,18733,3963,2016/8/1 7:02,121.448,31.134,2016/8/1 7:08,121.441,31.132,967.7,6,0
109,112319,1882,2016/8/1 7:03,121.494,31.315,2016/8/1 7:13,121.506,31.321,1684.79,10,3
110,92547,5827,2016/8/1 7:03,121.54,31.303,2016/8/1 7:11,121.546,31.314,1264.59,8,5
111,88303,2871,2016/8/1 7:04,121.371,31.262,2016/8/1 7:14,121.376,31.271,1466.18,10,5
112,55667,5198,2016/8/1 7:06,121.531,31.283,2016/8/1 7:32,121.523,31.267,2518.4,26,0
113,83106,7696,2016/8/1 7:07,121.515,31.311,2016/8/1 7:13,121.508,31.312,784.27,6,0
114,3890,1664,2016/8/1 7:08,121.473,31.205,2016/8/1 7:11,121.477,31.207,561.52,3,5
115,124404,5278,2016/8/1 7:09,121.509,31.281,2016/8/1 7:19,121.518,31.285,1467.39,10,3
116,65045,4101,2016/8/1 7:09,121.413,31.36,2016/8/1 7:20,121.43,31.368,2520.16,11,5
117,113387,2750,2016/8/1 7:09,121.35,31.313,2016/8/1 7:13,121.347,31.316,730.33,4,0
118,46351,5952,2016/8/1 7:10,121.415,31.128,2016/8/1 7:19,121.404,31.131,1953.88,9,0
119,124877,3099,2016/8/1 7:11,121.487,31.314,2016/8/1 7:28,121.488,31.315,1127.01,17,7
120,23616,3405,2016/8/1 7:11,121.482,31.203,2016/8/1 7:16,121.489,31.202,1069.94,5,7
121,41658,1823,2016/8/1 7:11,121.417,31.152,2016/8/1 7:22,121.427,31.155,1814.36,11,7
122,109206,715,2016/8/1 7:12,121.526,31.316,2016/8/1 7:17,121.531,31.315,614.81,5,2
123,68367,5035,2016/8/1 7:12,121.365,31.208,2016/8/1 7:46,121.408,31.213,6095.44,34,7
124,76510,5866,2016/8/1 7:13,121.467,31.303,2016/8/1 7:26,121.451,31.293,2462.99,13,0
125,36213,1576,2016/8/1 7:13,121.48,31.297,2016/8/1 7:16,121.482,31.294,353.17,3,4
126,107171,268,2016/8/1 7:13,121.374,31.314,2016/8/1 7:19,121.373,31.321,1034.44,6,5
127,2867,4153,2016/8/1 7:14,121.402,31.222,2016/8/1 7:22,121.41,31.23,1354.62,8,1
128,99050,7242,2016/8/1 7:15,121.546,31.29,2016/8/1 7:25,121.537,31.301,1761.93,10,2
129,16079,5510,2016/8/1 7:15,121.448,31.25,2016/8/1 7:22,121.438,31.255,1350.51,7,4
130,30171,8017,2016/8/1 7:15,121.45,31.186,2016/8/1 7:24,121.441,31.193,1553.03,9,5
131,111381,1994,2016/8/1 7:15,121.566,31.246,2016/8/1 7:25,121.554,31.245,1772.33,10,0
133,76494,6239,2016/8/1 7:15,121.337,31.256,2016/8/1 7:21,121.338,31.252,342.9,6,3
134,3163,2266,2016/8/1 7:16,121.459,31.19,2016/8/1 7:23,121.451,31.194,1195.24,7,5
135,6601,8095,2016/8/1 7:16,121.463,31.194,2016/8/1 7:23,121.47,31.19,1040.2,7,2
136,104992,7445,2016/8/1 7:17,121.44,31.132,2016/8/1 7:32,121.414,31.136,3245.92,15,5
138,73076,3289,2016/8/1 7:18,121.503,31.273,2016/8/1 7:27,121.511,31.281,1428.41,9,5
139,10931,868,2016/8/1 7:18,121.37,31.246,2016/8/1 7:23,121.367,31.237,767.94,5,7
140,72548,5442,2016/8/1 7:18,121.346,31.259,2016/8/1 7:26,121.343,31.249,1004.42,8,5
141,19422,5984,2016/8/1 7:18,121.446,31.133,2016/8/1 7:34,121.432,31.153,2753.89,16,5
142,41776,7532,2016/8/1 7:19,121.514,31.206,2016/8/1 7:24,121.517,31.21,566.71,5,5
143,123370,1891,2016/8/1 7:20,121.468,31.263,2016/8/1 7:25,121.471,31.259,566.41,5,0
144,46899,5141,2016/8/1 7:22,121.543,31.287,2016/8/1 7:28,121.536,31.289,1040.78,6,5
145,60184,1394,2016/8/1 7:22,121.529,31.275,2016/8/1 7:31,121.519,31.273,1462.41,9,5
147,78854,802,2016/8/1 7:23,121.535,31.196,2016/8/1 7:38,121.533,31.182,2223.55,15,1
148,109558,5179,2016/8/1 7:25,121.411,31.164,2016/8/1 7:31,121.412,31.169,401.4,6,5
149,15540,6095,2016/8/1 7:26,121.464,31.191,2016/8/1 7:31,121.473,31.194,1248.58,5,2
150,113414,1834,2016/8/1 7:26,121.529,31.334,2016/8/1 7:35,121.531,31.323,1085.64,9,0
151,56118,883,2016/8/1 7:27,121.521,31.338,2016/8/1 8:18,121.543,31.274,7469.59,51,3
152,577,7944,2016/8/1 7:27,121.474,31.205,2016/8/1 7:41,121.458,31.197,2159.34,14,5
153,118928,2839,2016/8/1 7:27,121.405,31.143,2016/8/1 7:32,121.413,31.142,1180.62,5,7
154,38007,7543,2016/8/1 7:28,121.416,31.154,2016/8/1 7:37,121.426,31.165,2312.88,9,3
155,72853,3332,2016/8/1 7:28,121.389,31.252,2016/8/1 7:41,121.406,31.254,2225.04,13,5
156,121120,2973,2016/8/1 7:30,121.477,31.208,2016/8/1 7:40,121.485,31.202,1471.88,10,3
157,93309,6664,2016/8/1 7:30,121.468,31.244,2016/8/1 7:39,121.477,31.252,1645.62,9,7
158,49582,4828,2016/8/1 7:31,121.483,31.201,2016/8/1 7:57,121.443,31.185,5031.59,26,0
159,55348,3283,2016/8/1 7:32,121.408,31.291,2016/8/1 7:44,121.416,31.293,1383.15,12,3
160,120723,5666,2016/8/1 7:32,121.541,31.184,2016/8/1 7:42,121.525,31.187,1911.88,10,0
161,50464,5531,2016/8/1 7:32,121.472,31.305,2016/8/1 7:42,121.485,31.313,1868.37,10,4
162,124167,5509,2016/8/1 7:33,121.447,31.332,2016/8/1 7:39,121.442,31.331,686.98,6,7
163,77697,7941,2016/8/1 7:34,121.449,31.26,2016/8/1 8:07,121.489,31.246,6625.91,33,5
164,26590,5597,2016/8/1 7:34,121.427,31.148,2016/8/1 7:40,121.431,31.151,1030.42,6,7
165,119442,3124,2016/8/1 7:36,121.532,31.322,2016/8/1 7:49,121.542,31.332,2096.87,13,0
166,7225,4586,2016/8/1 7:38,121.415,31.276,2016/8/1 8:06,121.411,31.245,5301.88,28,3
167,2628,6637,2016/8/1 7:39,121.414,31.199,2016/8/1 7:45,121.42,31.196,914.23,6,5
168,19421,5785,2016/8/1 7:40,121.395,31.232,2016/8/1 7:49,121.393,31.221,1305.81,9,0
169,93960,1792,2016/8/1 7:40,121.313,31.292,2016/8/1 7:46,121.322,31.296,1085.01,6,7
170,65838,3223,2016/8/1 7:41,121.521,31.241,2016/8/1 7:55,121.509,31.236,1538.98,14,0
171,54032,7727,2016/8/1 7:41,121.521,31.283,2016/8/1 7:51,121.507,31.286,1878,10,3
