UID,ST,BID
759,2016/8/1 0:23,79699
1440,2016/8/1 0:25,33279
5463,2016/8/1 0:26,3060
4666,2016/8/1 0:32,43119
2193,2016/8/1 0:33,116238
5114,2016/8/1 0:35,115749
1183,2016/8/1 0:43,61084
2154,2016/8/1 0:44,123910
6667,2016/8/1 0:45,36158
4756,2016/8/1 0:46,26060
7066,2016/8/1 0:53,112334
3364,2016/8/1 0:54,101533
3196,2016/8/1 1:00,104356
4622,2016/8/1 1:02,64570
3250,2016/8/1 1:06,113094
5432,2016/8/1 1:11,121853
5069,2016/8/1 1:11,26116
6615,2016/8/1 1:13,823
6172,2016/8/1 1:18,41445
2077,2016/8/1 1:19,50954
6378,2016/8/1 1:21,78767
3084,2016/8/1 1:43,113275
4161,2016/8/1 1:51,124887
1820,2016/8/1 1:51,108520
1312,2016/8/1 2:02,98978
77,2016/8/1 2:16,102468
5553,2016/8/1 2:18,13832
7741,2016/8/1 2:20,76457
7949,2016/8/1 2:28,76460
7447,2016/8/1 2:28,124880
1662,2016/8/1 2:35,66410
3839,2016/8/1 3:07,61125
4146,2016/8/1 3:10,3982
7971,2016/8/1 3:17,44165
3697,2016/8/1 3:46,124937
1755,2016/8/1 4:08,124943
7731,2016/8/1 4:53,26632
4296,2016/8/1 5:00,124171
5579,2016/8/1 5:04,121909
7086,2016/8/1 5:12,120795
1464,2016/8/1 5:33,55648
7333,2016/8/1 5:39,119267
1935,2016/8/1 5:46,92291
6822,2016/8/1 5:46,96457
4256,2016/8/1 5:59,71867
4459,2016/8/1 6:02,123667
4563,2016/8/1 6:06,46315
5437,2016/8/1 6:10,107771
7254,2016/8/1 6:11,38807
5316,2016/8/1 6:12,94939
4428,2016/8/1 6:12,13590
5843,2016/8/1 6:13,120378
2894,2016/8/1 6:13,124988
6287,2016/8/1 6:14,118921
4123,2016/8/1 6:14,107608
7701,2016/8/1 6:17,79464
6047,2016/8/1 6:19,122570
895,2016/8/1 6:21,110846
6339,2016/8/1 6:22,115995
1481,2016/8/1 6:25,77152
4208,2016/8/1 6:25,117422
6480,2016/8/1 6:27,84828
2103,2016/8/1 6:28,66443
1357,2016/8/1 6:28,5404
7359,2016/8/1 6:31,61950
719,2016/8/1 6:33,121867
2297,2016/8/1 6:34,48183
7687,2016/8/1 6:36,26137
7733,2016/8/1 6:37,84200
4473,2016/8/1 6:37,90526
6594,2016/8/1 6:38,69636
7662,2016/8/1 6:38,53697
5949,2016/8/1 6:40,84024
2811,2016/8/1 6:40,53029
3365,2016/8/1 6:41,114858
3261,2016/8/1 6:42,9323
3817,2016/8/1 6:42,118120
5873,2016/8/1 6:43,61207
7640,2016/8/1 6:43,38100
3356,2016/8/1 6:45,40524
6945,2016/8/1 6:45,61669
7447,2016/8/1 6:47,926
5798,2016/8/1 6:47,93790
2592,2016/8/1 6:49,56659
5090,2016/8/1 6:49,33663
5782,2016/8/1 6:49,102783
4581,2016/8/1 6:50,65392
6709,2016/8/1 6:50,72819
6929,2016/8/1 6:51,58836
95,2016/8/1 6:52,63782
3062,2016/8/1 6:52,24220
6575,2016/8/1 6:52,45614
2421,2016/8/1 6:54,43777
7566,2016/8/1 6:54,57451
5562,2016/8/1 6:54,29680
744,2016/8/1 6:55,37756
609,2016/8/1 6:57,104990
1440,2016/8/1 6:59,116605
1872,2016/8/1 6:59,98527
5790,2016/8/1 6:59,123590
5241,2016/8/1 7:01,14805
3691,2016/8/1 7:02,1915
3963,2016/8/1 7:02,18733
1882,2016/8/1 7:03,112319
5827,2016/8/1 7:03,92547
2871,2016/8/1 7:04,88303
5198,2016/8/1 7:06,55667
7696,2016/8/1 7:07,83106
1664,2016/8/1 7:08,3890
5278,2016/8/1 7:09,124404
4101,2016/8/1 7:09,65045
2750,2016/8/1 7:09,113387
5952,2016/8/1 7:10,46351
3099,2016/8/1 7:11,124877
3405,2016/8/1 7:11,23616
1823,2016/8/1 7:11,41658
715,2016/8/1 7:12,109206
5035,2016/8/1 7:12,68367
5866,2016/8/1 7:13,76510
1576,2016/8/1 7:13,36213
268,2016/8/1 7:13,107171
4153,2016/8/1 7:14,2867
7242,2016/8/1 7:15,99050
5510,2016/8/1 7:15,16079
8017,2016/8/1 7:15,30171
1994,2016/8/1 7:15,111381
6239,2016/8/1 7:15,76494
2266,2016/8/1 7:16,3163
8095,2016/8/1 7:16,6601
7445,2016/8/1 7:17,104992
3289,2016/8/1 7:18,73076
868,2016/8/1 7:18,10931
5442,2016/8/1 7:18,72548
5984,2016/8/1 7:18,19422
7532,2016/8/1 7:19,41776
1891,2016/8/1 7:20,123370
5141,2016/8/1 7:22,46899
1394,2016/8/1 7:22,60184
802,2016/8/1 7:23,78854
5179,2016/8/1 7:25,109558
6095,2016/8/1 7:26,15540
1834,2016/8/1 7:26,113414
883,2016/8/1 7:27,56118
7944,2016/8/1 7:27,577
2839,2016/8/1 7:27,118928
7543,2016/8/1 7:28,38007
3332,2016/8/1 7:28,72853
2973,2016/8/1 7:30,121120
6664,2016/8/1 7:30,93309
4828,2016/8/1 7:31,49582
3283,2016/8/1 7:32,55348
5666,2016/8/1 7:32,120723
5531,2016/8/1 7:32,50464
5509,2016/8/1 7:33,124167
7941,2016/8/1 7:34,77697
5597,2016/8/1 7:34,26590
3124,2016/8/1 7:36,119442
4586,2016/8/1 7:38,7225
6637,2016/8/1 7:39,2628
5785,2016/8/1 7:40,19421
1792,2016/8/1 7:40,93960
3223,2016/8/1 7:41,65838
7727,2016/8/1 7:41,54032
3225,2016/8/1 7:41,111208
1488,2016/8/1 7:42,73069
1171,2016/8/1 7:42,123887
4747,2016/8/1 7:42,103657
4371,2016/8/1 7:42,56747
904,2016/8/1 7:43,125055
7052,2016/8/1 7:43,68777
7606,2016/8/1 7:44,51521
5143,2016/8/1 7:44,35201
5257,2016/8/1 7:44,125167
1397,2016/8/1 7:44,57148
3099,2016/8/1 7:44,125037
6498,2016/8/1 7:45,21236
3079,2016/8/1 7:45,57635
7313,2016/8/1 7:45,74985
8437,2016/8/1 7:46,87528
3842,2016/8/1 7:46,17747
4969,2016/8/1 7:46,113506
1839,2016/8/1 7:46,109798
6537,2016/8/1 7:47,116147
1998,2016/8/1 7:47,67906
7425,2016/8/1 7:47,85439
1419,2016/8/1 7:47,75636
5105,2016/8/1 7:48,20575
4650,2016/8/1 7:48,105000
7348,2016/8/1 7:49,89940
6293,2016/8/1 7:49,53823
5194,2016/8/1 7:50,98596
8449,2016/8/1 7:50,20044
3084,2016/8/1 7:51,74840
5266,2016/8/1 7:52,100025
1841,2016/8/1 7:52,48112
1355,2016/8/1 7:52,72762
6258,2016/8/1 7:52,48270
3229,2016/8/1 7:53,19747
2404,2016/8/1 7:53,112389
5866,2016/8/1 7:53,46736
2539,2016/8/1 7:53,75915
5035,2016/8/1 7:53,36817
7948,2016/8/1 7:54,1437
1480,2016/8/1 7:54,65407
6979,2016/8/1 7:55,44933
5712,2016/8/1 7:55,62745
7075,2016/8/1 7:55,3542
3778,2016/8/1 7:55,88928
8022,2016/8/1 7:56,13813
1090,2016/8/1 7:56,90781
7602,2016/8/1 7:57,32786
5664,2016/8/1 7:58,121107
5606,2016/8/1 7:58,122706
5422,2016/8/1 7:58,87553
7148,2016/8/1 7:58,103238
3254,2016/8/1 7:59,57760
4533,2016/8/1 7:59,110992
77,2016/8/1 8:00,73533
7099,2016/8/1 8:01,62251
3199,2016/8/1 8:01,117354
4629,2016/8/1 8:02,23622
7045,2016/8/1 8:02,36395
4842,2016/8/1 8:02,47579
7504,2016/8/1 8:03,37142
5542,2016/8/1 8:05,121149
5170,2016/8/1 8:05,10681
7105,2016/8/1 8:05,37418
3175,2016/8/1 8:06,100681
7531,2016/8/1 8:06,50342
6303,2016/8/1 8:07,1917
6361,2016/8/1 8:07,64588
6567,2016/8/1 8:07,107865
5667,2016/8/1 8:07,80829
3648,2016/8/1 8:08,26973
4913,2016/8/1 8:08,99641
5598,2016/8/1 8:08,100593
8002,2016/8/1 8:09,125072
4865,2016/8/1 8:09,96148
5290,2016/8/1 8:09,32310
5299,2016/8/1 8:10,73717
209,2016/8/1 8:10,71693
5189,2016/8/1 8:10,111100
6859,2016/8/1 8:10,31517
4692,2016/8/1 8:11,86659
6170,2016/8/1 8:11,98337
6455,2016/8/1 8:12,28334
2567,2016/8/1 8:12,29849
5814,2016/8/1 8:12,110561
5540,2016/8/1 8:12,102090
3097,2016/8/1 8:13,94862
7940,2016/8/1 8:14,43566
6133,2016/8/1 8:14,32341
6178,2016/8/1 8:14,125247
3007,2016/8/1 8:14,76294
2320,2016/8/1 8:14,78133
7264,2016/8/1 8:15,73696
3758,2016/8/1 8:15,87745
4833,2016/8/1 8:15,90258
7624,2016/8/1 8:15,32366
7856,2016/8/1 8:15,22413
5304,2016/8/1 8:16,121609
2477,2016/8/1 8:16,87971
8104,2016/8/1 8:16,72393
515,2016/8/1 8:17,110540
2109,2016/8/1 8:17,107400
5964,2016/8/1 8:18,46323
2895,2016/8/1 8:18,38115
5853,2016/8/1 8:18,95865
5972,2016/8/1 8:19,12936
6240,2016/8/1 8:19,88713
1159,2016/8/1 8:19,30433
5296,2016/8/1 8:19,26212
1924,2016/8/1 8:19,121910
6526,2016/8/1 8:20,90991
7338,2016/8/1 8:20,94040
6543,2016/8/1 8:21,45457
5413,2016/8/1 8:21,105235
5894,2016/8/1 8:21,22630
4647,2016/8/1 8:21,76735
4581,2016/8/1 8:22,124173
1286,2016/8/1 8:22,121954
2731,2016/8/1 8:23,100463
2460,2016/8/1 8:23,96654
3670,2016/8/1 8:23,102466
