ID,EX,EY
1,121.525,31.316
2,121.517,31.309
3,121.387,31.103
4,121.531,31.282
5,121.427,31.26
6,121.442,31.135
7,121.393,31.099
8,121.499,31.21
9,121.51,31.253
10,121.454,31.223
11,121.434,31.173
12,121.374,31.241
13,121.375,31.316
14,121.513,31.311
15,121.513,31.266
16,121.434,31.237
17,121.486,31.338
18,121.465,31.207
19,121.41,31.235
20,121.44,31.302
21,121.513,31.311
23,121.399,31.281
24,121.462,31.198
25,121.448,31.28
26,121.348,31.289
27,121.538,31.273
28,121.427,31.177
29,121.429,31.249
30,121.494,31.211
31,121.459,31.192
32,121.458,31.331
33,121.532,31.331
34,121.358,31.208
35,121.476,31.2
36,121.45,31.325
37,121.388,31.277
39,121.438,31.255
40,121.348,31.209
41,121.403,31.285
42,121.516,31.3
43,121.491,31.331
44,121.411,31.2
45,121.32,31.24
46,121.479,31.224
47,121.485,31.319
48,121.484,31.304
49,121.431,31.152
50,121.392,31.268
51,121.446,31.187
52,121.532,31.28
53,121.442,31.178
54,121.467,31.207
55,121.51,31.261
56,121.477,31.204
57,121.531,31.306
58,121.533,31.295
60,121.519,31.274
61,121.529,31.226
62,121.504,31.211
63,121.485,31.302
64,121.518,31.275
65,121.438,31.326
66,121.472,31.209
67,121.504,31.21
68,121.553,31.279
69,121.474,31.283
70,121.381,31.194
71,121.441,31.135
72,121.49,31.277
73,121.409,31.18
74,121.538,31.313
75,121.514,31.299
76,121.457,31.237
77,121.508,31.312
78,121.373,31.322
79,121.531,31.323
80,121.433,31.201
81,121.442,31.233
82,121.402,31.264
84,121.53,31.275
85,121.418,31.167
86,121.455,31.19
87,121.485,31.319
88,121.433,31.354
89,121.534,31.324
90,121.449,31.305
91,121.538,31.322
92,121.531,31.321
93,121.529,31.274
94,121.529,31.274
95,121.507,31.313
96,121.413,31.187
98,121.538,31.324
99,121.444,31.226
100,121.506,31.321
101,121.491,31.331
102,121.507,31.329
103,121.525,31.301
104,121.364,31.132
105,121.441,31.297
106,121.486,31.307
107,121.516,31.33
108,121.441,31.132
109,121.506,31.321
110,121.546,31.314
111,121.376,31.271
112,121.523,31.267
113,121.508,31.312
114,121.477,31.207
115,121.518,31.285
116,121.43,31.368
117,121.347,31.316
118,121.404,31.131
119,121.488,31.315
120,121.489,31.202
121,121.427,31.155
122,121.531,31.315
123,121.408,31.213
124,121.451,31.293
125,121.482,31.294
126,121.373,31.321
127,121.41,31.23
128,121.537,31.301
129,121.438,31.255
130,121.441,31.193
131,121.554,31.245
133,121.338,31.252
134,121.451,31.194
135,121.47,31.19
136,121.414,31.136
138,121.511,31.281
139,121.367,31.237
140,121.343,31.249
141,121.432,31.153
142,121.517,31.21
143,121.471,31.259
144,121.536,31.289
145,121.519,31.273
147,121.533,31.182
148,121.412,31.169
149,121.473,31.194
150,121.531,31.323
151,121.543,31.274
152,121.458,31.197
153,121.413,31.142
154,121.426,31.165
155,121.406,31.254
156,121.485,31.202
157,121.477,31.252
158,121.443,31.185
159,121.416,31.293
160,121.525,31.187
161,121.485,31.313
162,121.442,31.331
163,121.489,31.246
164,121.431,31.151
165,121.542,31.332
166,121.411,31.245
167,121.42,31.196
168,121.393,31.221
169,121.322,31.296
170,121.509,31.236
171,121.507,31.286
172,121.526,31.309
173,121.48,31.275
174,121.49,31.264
175,121.502,31.306
176,121.485,31.319
177,121.356,31.309
178,121.524,31.263
179,121.496,31.27
180,121.506,31.329
181,121.406,31.167
182,121.356,31.345
183,121.485,31.319
184,121.503,31.293
185,121.53,31.263
186,121.467,31.319
187,121.502,31.221
188,121.466,31.209
189,121.455,31.201
190,121.413,31.303
191,121.441,31.331
192,121.475,31.221
193,121.535,31.26
194,121.35,31.22
195,121.396,31.187
196,121.429,31.246
197,121.397,31.249
198,121.36,31.217
199,121.475,31.296
200,121.479,31.238
201,121.421,31.285
202,121.514,31.303
203,121.39,31.269
204,121.451,31.293
205,121.47,31.19
206,121.484,31.276
207,121.5,31.261
208,121.439,31.297
209,121.538,31.314
210,121.437,31.214
211,121.47,31.21
212,121.447,31.318
213,121.417,31.172
214,121.408,31.177
215,121.367,31.237
216,121.416,31.293
217,121.488,31.201
218,121.532,31.323
219,121.417,31.217
220,121.441,31.281
221,121.377,31.271
222,121.438,31.278
223,121.428,31.182
224,121.455,31.271
225,121.486,31.3
226,121.543,31.274
227,121.463,31.193
228,121.484,31.306
229,121.489,31.259
230,121.435,31.215
231,121.484,31.319
232,121.442,31.295
233,121.525,31.331
234,121.429,31.233
235,121.415,31.19
236,121.437,31.296
237,121.536,31.3
238,121.429,31.202
239,121.427,31.287
240,121.441,31.215
241,121.457,31.234
242,121.476,31.305
243,121.424,31.194
244,121.501,31.275
245,121.531,31.217
246,121.539,31.188
247,121.384,31.239
248,121.506,31.266
249,121.533,31.295
250,121.421,31.195
251,121.403,31.168
252,121.441,31.331
253,121.522,31.324
254,121.392,31.307
256,121.509,31.297
257,121.489,31.294
258,121.351,31.256
259,121.467,31.27
260,121.391,31.269
261,121.538,31.291
262,121.429,31.275
263,121.545,31.275
264,121.354,31.285
265,121.533,31.331
266,121.505,31.285
267,121.406,31.142
268,121.438,31.279
269,121.458,31.259
270,121.407,31.133
271,121.442,31.281
273,121.441,31.214
274,121.374,31.234
275,121.452,31.247
276,121.484,31.319
277,121.459,31.249
278,121.404,31.21
279,121.448,31.198
280,121.467,31.252
281,121.476,31.238
282,121.405,31.164
283,121.482,31.32
284,121.441,31.282
285,121.415,31.244
286,121.531,31.322
