class,DS,DU
3,867.65,9
6,2967.41,15
3,1827.94,15
5,3067.31,20
5,1819.23,13
0,798.27,5
5,1438.92,10
5,794.22,8
7,2788.91,36
4,4576.51,31
5,909.56,18
1,1310.07,11
7,1456.38,9
0,2860.44,16
0,3740.14,20
5,4724.06,18
7,2129.33,13
5,1253.49,8
5,1770.28,10
5,1596.9,20
0,614.79,3
5,2031.92,18
7,508.25,4
7,652.84,23
3,846.18,6
5,982.56,5
4,817.2,4
5,4470.41,20
5,1553.07,10
4,3779.12,42
2,1292.31,11
5,1670.72,42
5,1368.21,8
0,861.46,5
7,1214.35,9
5,2018.36,35
4,1136.98,8
0,2097.82,19
5,994.15,7
5,3086.64,13
7,571.53,5
0,1116.21,5
0,1136.12,6
1,2514.77,16
2,402.02,5
5,4017.42,23
7,1353.8,8
4,976.69,6
3,1403.62,7
5,1022.34,11
0,1355.16,8
4,4628.53,66
0,4817.13,29
3,580.74,3
7,1287.84,7
5,1142.91,7
1,856.82,5
3,1305.51,11
0,948.71,6
3,2095.87,17
0,729.03,11
0,1257.93,8
4,10074.58,50
0,1302.76,9
3,1245.28,8
5,948.68,5
0,1479.83,8
1,1722.25,8
0,624.7,4
7,1185.29,6
5,964.19,6
7,3254.65,11
5,849.64,23
0,948.73,5
5,1029.45,7
0,1409.4,7
4,669.87,99
7,1127.69,7
0,681.99,7
0,2580.25,15
3,575.56,7
5,561.46,3
2,1350.75,10
3,1591.78,12
7,692.45,6
1,2317.87,9
0,553.79,4
0,3196.87,28
5,750.66,6
5,2653.35,15
0,1133.3,7
1,1153.69,13
5,920.27,4
2,1422.55,8
3,5369.42,9
7,1540.39,8
0,1950.63,11
2,1529.78,10
6,957.63,6
3,1979.03,13
0,900.47,7
5,687.27,3
0,967.7,6
3,1684.79,10
5,1264.59,8
5,1466.18,10
0,2518.4,26
0,784.27,6
5,561.52,3
3,1467.39,10
5,2520.16,11
0,730.33,4
0,1953.88,9
7,1127.01,17
7,1069.94,5
7,1814.36,11
2,614.81,5
7,6095.44,34
0,2462.99,13
4,353.17,3
5,1034.44,6
1,1354.62,8
2,1761.93,10
4,1350.51,7
5,1553.03,9
0,1772.33,10
3,342.9,6
5,1195.24,7
2,1040.2,7
5,3245.92,15
5,1428.41,9
7,767.94,5
5,1004.42,8
5,2753.89,16
5,566.71,5
0,566.41,5
5,1040.78,6
5,1462.41,9
1,2223.55,15
5,401.4,6
2,1248.58,5
0,1085.64,9
3,7469.59,51
5,2159.34,14
7,1180.62,5
3,2312.88,9
5,2225.04,13
3,1471.88,10
7,1645.62,9
0,5031.59,26
3,1383.15,12
0,1911.88,10
4,1868.37,10
7,686.98,6
5,6625.91,33
7,1030.42,6
0,2096.87,13
3,5301.88,28
5,914.23,6
0,1305.81,9
7,1085.01,6
0,1538.98,14
3,1878,10
4,847.67,7
0,1650.03,9
5,1019.56,14
4,1626.61,10
2,1756.97,8
2,1421.45,13
4,692.4,4
5,924.82,7
0,2657.69,15
0,580.21,3
0,236.81,18
2,861.56,7
1,812.83,4
0,3849.47,22
4,1413.5,9
2,677.93,5
3,1234.34,8
3,900.25,6
4,1756.15,8
0,1863.11,10
7,7575.7,55
0,2090.59,11
7,1229.03,5
0,2157.41,10
3,768.73,11
4,2739.1,15
0,677.03,8
4,1578.22,9
5,9722.11,38
2,1633.4,6
0,1374.59,10
0,1398.49,7
0,2833.54,13
2,3291.17,15
5,888.93,7
7,765.44,5
3,1684.31,10
5,1907.71,12
5,3430.83,27
6,1170.07,10
3,1772.45,11
4,2264.3,16
2,3977.95,21
7,769.5,6
3,1030.31,4
0,1396,9
0,1423.76,9
4,2086.26,17
3,1983.92,13
5,1427.81,9
5,7073.65,38
7,7379.5,44
4,1146.52,6
1,411.33,4
3,910.01,4
0,1587.86,11
4,624.66,6
0,677.87,4
0,2235.08,18
1,1684.58,11
2,2531.05,13
3,2178.35,12
0,2127.64,10
0,1044.53,9
3,2002.68,13
5,1951.93,17
6,919,5
5,401.54,4
4,1422.53,10
0,2177.18,12
6,1636.37,13
7,2162.65,35
3,2284.95,15
5,2495.19,18
2,959.03,7
5,2016.27,14
7,1075.16,9
5,1713.81,11
2,1171.22,8
2,5736.93,41
0,1596.62,11
4,2329.22,13
4,1340.52,9
1,2953.02,16
2,3286.93,30
1,1301.09,8
7,696.87,5
7,2739.11,12
1,832.41,6
5,3677.09,32
0,1022.52,6
7,619.03,5
4,577.06,7
0,1539.6,9
3,2074.7,14
1,2501.53,16
0,1180.98,6
7,2559.15,11
7,1292.26,6
6,1195.08,7
0,783.83,3
2,2957.13,20
1,842.35,10
2,1313.72,6
5,691.52,5
7,2255.05,12
7,236.89,19
7,1679.76,17
2,3207.47,13
1,2521.85,17
0,1229.35,6
2,3850.95,21
0,900.75,6
7,2487.59,23
0,914.28,5
4,1015.32,5
5,4242.34,29
2,1268.42,7
4,1103.72,8
4,1830.38,20
5,571.91,4
7,1767.4,11
5,2873.84,30
4,1181.53,5
0,527.96,5
3,1452.1,8
3,1484.96,12
7,1366.61,17
5,629.81,5
3,777.5,6
5,1021.65,8
7,847.49,9
7,2880.05,15
0,2477.02,13
5,1378.53,6
5,1422.04,7
7,4036.85,24
7,1209.49,12
3,1298.18,8
3,1814.51,12
5,3374.86,24
0,1413.08,7
0,3256.99,20
7,735.42,12
5,967.98,12
2,2844.62,19
7,1515.43,14
5,1499.83,13
0,2081.31,10
0,2333.95,16
7,1936.02,9
7,1829.1,13
5,566.15,3
3,1258.14,7
0,1451.84,12
5,804.7,6
4,566.19,3
5,3749.88,19
0,2442.13,11
2,1301.92,9
3,2172.11,13
2,1060.14,4
2,1484.41,11
0,2053.38,11
5,803.67,5
0,2678.72,27
5,1739.11,23
0,1556.23,9
0,1120.7,3
1,995.35,12
5,1063.6,7
2,1171.32,5
7,1247.65,6
2,1563.29,8
4,846.84,6
7,344.27,4
7,1234.21,7
0,527.76,5
0,867.25,13
7,914.95,6
2,575.6,4
2,2937.64,14
3,1144.14,9
5,517.7,4
4,3469.8,18
3,813.32,6
7,842.3,9
2,1026.26,9
0,2874.8,14
3,624.35,6
7,2042.38,13
0,1485.64,9
0,628.67,9
2,685.69,7
0,1534.22,11
3,914.28,5
0,789.32,6
7,1054.7,9
1,1747.33,8
0,904.01,5
2,900.47,5
3,5026.93,40
0,682.33,5
7,1984.49,15
4,402.58,4
7,997.4,5
7,1431.71,7
4,406.28,3
5,1923.83,11
0,1941.16,10
0,460.13,3
0,1069.39,7
5,1292.5,7
0,4811.21,26
0,2376.96,13
5,1224.62,16
0,700.45,10
4,749.15,7
3,798.75,3
5,1205.48,12
0,4034.06,28
4,1991.19,11
3,682.25,8
2,3187.97,18
0,1606.45,7
0,1631.87,9
5,1667.11,7
7,798.11,4
5,1132.96,6
3,1928.56,11
5,909.65,3
0,3109.64,14
4,619.33,4
7,890.1,10
4,683.25,4
7,2361.49,16
4,754.74,4
7,4305.89,29
5,589.84,4
7,975.94,6
4,2749.86,19
5,1748.94,12
5,624.22,5
0,2658.53,9
0,791.85,4
0,2027.96,10
3,1180.77,9
5,3407.77,16
0,416.03,5
0,2855.2,19
7,580.52,3
4,1229.59,11
3,1021.5,8
7,1074.46,8
3,784.03,4
5,1358.7,8
2,682.68,4
0,2409.15,16
4,1674.52,7
3,3209.65,48
5,1199.11,6
2,450.16,32
4,807.71,5
0,948.52,5
2,339.04,10
4,1461.97,7
0,701.52,3
2,1795.33,10
0,1427.22,7
0,614.77,3
