class,DU,DS
7,10,724.116199
0,16,2285.849418
7,2,292.243314
7,20,2895.797676
5,35,438.462215
5,16,1543.319689
0,8,1169.727273
3,11,766.681439
1,5,769.798934
5,23,440.894989
0,15,2104.13745
2,28,2013.255745
5,4,781.939731
0,3,306.292184
0,4,438.392904
0,15,1665.304082
5,9,1156.816479
5,9,1169.240272
1,15,1563.880105
5,13,1634.383048
5,15,1916.477293
7,6,964.858052
2,8,1161.256229
2,15,1929.091591
3,5,978.315105
5,8,584.779112
3,10,1225.567231
2,21,4019.768234
0,44,6441.691314
0,19,1662.366958
5,10,2097.809294
5,15,1729.090533
0,9,963.801838
7,5,781.939873
3,9,1084.895691
5,3,440.905345
7,19,220.41901
5,29,4312.465321
3,12,831.15908
7,6,1192.001918
0,7,1137.667683
0,13,1533.435243
0,6,623.610412
0,11,1623.668997
4,6,745.448627
7,7,884.25896
4,18,2147.378627
0,5,796.49452
2,5,613.304669
2,10,1372.124847
4,7,766.660484
0,9,1156.327115
4,4,396.942103
7,6,1006.781158
5,16,2667.833092
7,4,612.536632
4,5,799.173026
7,11,1438.279413
5,15,1233.328466
5,6,1020.775354
7,20,1801.514456
7,21,2862.615993
5,12,965.090031
3,3,441.170854
4,8,505.835669
7,3,440.829386
5,4,361.839352
4,6,799.137623
5,24,2074.892808
2,8,1293.508978
5,4,306.471718
4,6,965.792872
5,12,1372.73429
4,7,146.150864
5,3,489.41846
5,7,1002.398036
1,6,672.786986
5,16,1021.370691
4,12,1101.887779
3,15,1071.381337
3,6,730.619525
4,7,795.978697
0,30,4647.326309
7,18,1323.812132
2,12,1488.482076
3,15,1653.789505
2,3,781.940005
5,9,660.956354
4,8,1206.668881
7,8,306.751607
3,11,1070.128148
4,9,867.028652
7,5,482.710553
4,60,3927.999055
0,10,1465.969722
1,10,1607.610097
7,2,306.410039
3,6,766.515575
7,23,241.333412
3,12,1124.989406
7,8,892.09059
4,48,2865.985681
5,15,1608.244712
4,4,525.489719
4,10,1138.286056
3,28,1333.890014
6,10,1494.967046
3,11,1085.369661
2,45,2255.388086
1,14,963.714934
7,4,383.407813
3,23,3250.441021
5,17,650.782015
2,6,581.242935
3,28,2676.269327
0,6,582.519954
7,26,3004.28199
3,7,1206.595926
7,77,10715.53558
5,8,963.714934
1,14,2003.08223
3,14,1550.507226
4,10,1163.544488
0,14,769.631886
0,8,818.245511
7,6,672.513696
3,22,2413.602784
5,31,3622.140777
4,10,1070.679628
5,14,2287.909032
5,19,2004.796723
1,29,4748.405045
4,13,2123.400985
3,58,6071.881974
4,9,1021.754378
0,5,292.397243
2,5,440.808663
7,19,2995.057686
0,4,306.314643
3,23,2757.149385
0,47,5702.425143
5,8,919.230115
5,17,1671.559486
7,63,8241.905418
4,21,3086.458195
5,11,1124.972415
5,30,4438.848014
2,19,2625.542823
5,99,8526.65185
1,21,958.588973
5,41,3800.008802
0,5,907.232315
4,19,2539.438136
1,41,6263.658026
4,62,5503.046607
0,61,306.524956
5,7,581.442602
2,54,241.324658
1,21,2381.96451
5,4,525.340084
7,15,1443.360956
7,27,3327.523027
0,6,692.016584
2,9,1252.654477
4,19,2631.159963
7,11,623.713401
7,9,1055.438262
6,15,396.626254
3,11,1862.098047
7,12,1229.184574
7,32,3276.84786
4,92,9905.02864
5,12,1189.357841
7,25,2450.064715
7,21,2011.941843
5,6,1162.098285
7,9,1301.694552
0,7,691.998023
6,4,724.006798
2,6,744.853476
7,6,383.262081
7,10,864.479585
5,27,703.1177
5,6,292.3934
5,29,4452.327604
5,12,1322.75745
5,7,676.602468
5,29,3048.656408
5,18,1814.431402
1,39,3307.462178
3,40,361.518548
4,15,1839.524779
3,17,965.217943
2,29,2300.038598
0,63,4887.414946
7,4,580.81015
5,31,4400.723292
4,8,702.152202
0,22,799.155694
7,36,2075.970969
3,32,292.268998
5,5,438.394831
1,25,2151.8823
3,23,2109.888685
0,8,675.792636
3,9,482.71638
5,16,2097.094974
4,5,440.794845
7,8,1124.979725
5,29,306.748812
0,12,723.980541
0,19,2140.786135
7,6,438.506468
3,36,241.355641
5,12,1717.119043
2,36,2457.0848
7,12,1226.844283
5,19,2268.025636
5,24,3998.431989
3,2,345.980316
5,61,441.329213
1,3,306.650936
2,12,1758.47892
2,20,584.674008
3,10,1401.174257
4,5,396.780418
3,26,3729.479301
5,8,1374.189927
3,9,1164.750702
