ID,EX,EY,geohash
1,121.525,31.316,wtw6jkguctxb
2,121.517,31.309,wtw6j5tupkde
3,121.387,31.103,wtw2fnpk457m
4,121.531,31.282,wtw3vw8nve3w
5,121.427,31.26,wtw3g4sqwnme
6,121.442,31.135,wtw357zqe8wm
7,121.393,31.099,wtw2fm7svcv3
8,121.499,31.21,wtw3sc8g7vst
9,121.51,31.253,wtw3v12vujqy
10,121.454,31.223,wtw3egbp5m43
11,121.434,31.173,wtw376ceck3h
12,121.374,31.241,wtw39zmb50tb
13,121.375,31.316,wtw61uysfmx8
14,121.513,31.311,wtw6j5gpf17y
15,121.513,31.266,wtw3v5g1dhgf
16,121.434,31.237,wtw3eq989qc5
17,121.486,31.338,wtw6k2zmhfx5
18,121.465,31.207,wtw3s101gwkw
19,121.41,31.235,wtw3dy0j4418
20,121.44,31.302,wtw656mgm5ep
21,121.513,31.311,wtw6j5gpf17y
23,121.399,31.281,wtw3fw8119p3
24,121.462,31.198,wtw37zmvt8xx
25,121.448,31.28,wtw3gw7epw8k
26,121.348,31.289,wtw3crfztk6g
27,121.538,31.273,wtw3vtj62ttr
28,121.427,31.177,wtw375s7nnj9
29,121.429,31.249,wtw3g0tysgbc
30,121.494,31.211,wtw3s9v1r2h7
31,121.459,31.192,wtw37y7dxf4x
32,121.458,31.331,wtw65zeh298y
33,121.532,31.331,wtw6jx8ukceq
34,121.358,31.208,wtw3994py2ge
35,121.476,31.2,wtw3krb15vw9
36,121.45,31.325,wtw65wt1q55x
37,121.388,31.277,wtw3fmb19rmh
39,121.438,31.255,wtw3g3u3w6rc
40,121.348,31.209,wtw3936vt76b
41,121.403,31.285,wtw3fx6bqfty
42,121.516,31.3,wtw6j1vr8nbu
43,121.491,31.331,wtw6hxeh33xw
44,121.411,31.2,wtw36zbc1me1
45,121.32,31.24,wtw38xnd0yhd
46,121.479,31.224,wtw3sk4kcz7x
47,121.485,31.319,wtw6hmqwmsv8
48,121.484,31.304,wtw6h6tzn2ec
49,121.431,31.152,wtw35pp3e3sq
50,121.392,31.268,wtw3fk4vq9ev
51,121.446,31.187,wtw37t6m2yjj
52,121.532,31.28,wtw3vw2ghyek
53,121.442,31.178,wtw377z358qq
54,121.467,31.207,wtw3s119fnry
55,121.51,31.261,wtw3v4bus0yb
56,121.477,31.204,wtw3s28b7r0q
57,121.531,31.306,wtw6je04tt3s
58,121.533,31.295,wtw6j91ds4uf
60,121.519,31.274,wtw3vjr2mbju
61,121.529,31.226,wtw3tkw8wuq3
62,121.504,31.211,wtw3scu922j5
63,121.485,31.302,wtw6h6qemetx
64,121.518,31.275,wtw3vjqwnds1
65,121.438,31.326,wtw65qsrnmxu
66,121.472,31.209,wtw3s1mjwg20
67,121.504,31.21,wtw3scse2mtj
68,121.553,31.279,wtw3yn0jqhnn
69,121.474,31.283,wtw3unystmg7
70,121.381,31.194,wtw36ndynr1d
71,121.441,31.135,wtw357yws2sv
72,121.49,31.277,wtw3utf3dpmu
73,121.409,31.18,wtw36spkdtrb
74,121.538,31.313,wtw6jsm72wm2
75,121.514,31.299,wtw6j1gcckmx
