ID,EX,EY,geohash,class
1,121.393,31.099,wtw2fm7svcv3,7
2,121.513,31.311,wtw6j5gpf17y,0
3,121.537,31.33,wtw6jxkw3r79,7
4,121.429,31.249,wtw3g0tysgbc,7
5,121.388,31.277,wtw3fmb19rmh,5
6,121.479,31.224,wtw3sk4kcz7x,5
7,121.442,31.178,wtw377z358qq,0
8,121.529,31.226,wtw3tkw8wuq3,3
9,121.474,31.283,wtw3unystmg7,1
10,121.457,31.237,wtw3eyd29nz7,5
11,121.53,31.275,wtw3vmrqn681,0
12,121.531,31.321,wtw6jtb4j99d,2
13,121.538,31.324,wtw6jwm788v6,5
14,121.516,31.33,wtw6jpmq2p2c,0
15,121.347,31.316,wtw61kfhyj92,0
16,121.452,31.278,wtw3gtyxs9z1,0
17,121.441,31.193,wtw37qw8kksu,5
18,121.511,31.281,wtw3vn995909,5
19,121.533,31.182,wtw3ms98k4hg,1
20,121.406,31.254,wtw3f9t5szfu,5
21,121.514,31.278,wtw3vjgz93v9,5
22,121.322,31.296,wtw609rbrmpz,7
23,121.485,31.319,wtw6hmqwmsv8,2
24,121.506,31.329,wtw6hzmbxhbk,2
25,121.35,31.22,wtw397kmevy6,3
26,121.36,31.217,wtw39dgshywf,5
27,121.439,31.297,wtw653mnjz9t,3
28,121.408,31.177,wtw36ewe5qn1,2
29,121.428,31.182,wtw37ht0m6p7,0
30,121.469,31.231,wtw3sj7jbb75,0
31,121.429,31.233,wtw3ejvckv0y,5
32,121.501,31.275,wtw3uv6q4d81,5
33,121.506,31.266,wtw3ugvcxhb6,0
34,121.467,31.27,wtw3uh98fnrz,7
35,121.505,31.285,wtw3uzm0rdww,3
36,121.374,31.234,wtw39vvz5ptg,5
37,121.467,31.252,wtw3u13845pc,7
38,121.516,31.288,wtw3vpv3b1bv,5
39,121.416,31.293,wtw64bsqvy52,3
40,121.434,31.115,wtw3523d123h,7
41,121.458,31.26,wtw3gfen8w2g,0
42,121.442,31.21,wtw3e3x77twm,0
43,121.488,31.311,wtw6hebzg96w,0
44,121.391,31.233,wtw3dmf1rm4n,0
45,121.482,31.202,wtw3s2hkzf2e,4
46,121.456,31.393,wtw6efct3zme,7
47,121.463,31.157,wtw35zywtjc0,4
48,121.425,31.183,wtw37hdypsd2,0
49,121.482,31.203,wtw3s2k6xub9,2
50,121.506,31.329,wtw6hzmbxhbk,2
51,121.362,31.231,wtw39tmjg865,4
52,121.516,31.26,wtw3v4tq8n2g,0
53,121.414,31.218,wtw3dg4fp2bp,4
54,121.328,31.249,wtw3bbsqe7cc,7
55,121.485,31.306,wtw6h7ndttms,5
56,121.432,31.338,wtw672bj4dtg,7
57,121.423,31.199,wtw37p9e2gph,4
58,121.6,31.202,wtw3x04kv67g,7
59,121.425,31.293,wtw650dyzw42,5
60,121.446,31.266,wtw3gef38uv4,5
61,121.422,31.274,wtw3gj2b38jk,7
62,121.412,31.156,wtw34zc8bekg,7
63,121.458,31.267,wtw3gggp2x2b,5
64,121.439,31.155,wtw35rt5jbcw,3
65,121.488,31.229,wtw3st0f5ed9,4
66,121.366,31.256,wtw3ccbp2u8y,7
67,121.459,31.195,wtw37ygspc6x,5
68,121.466,31.297,wtw6h12y4zwj,4
69,121.473,31.294,wtw6h0vuy03t,5
70,121.431,31.336,wtw670x37mu3,2
71,121.488,31.267,wtw3uebz7x68,5
72,121.424,31.179,wtw375fqb6be,4
73,121.537,31.264,wtw3vekw1258,5
74,121.505,31.283,wtw3uyvhxtye,4
75,121.38,31.165,wtw3616jqcpf,5
76,121.479,31.212,wtw3s3fr1fe8,5
77,121.471,31.199,wtw3kps7r7nk,1
