UID,ST
1183,2020/8/1 0:43
4622,2020/8/1 1:02
6665,2020/8/1 1:25
7741,2020/8/1 2:20
1755,2020/8/1 4:08
6822,2020/8/1 5:46
4428,2020/8/1 6:12
895,2020/8/1 6:21
719,2020/8/1 6:33
5949,2020/8/1 6:40
3356,2020/8/1 6:45
6709,2020/8/1 6:50
2421,2020/8/1 6:54
3691,2020/8/1 7:02
2750,2020/8/1 7:09
1569,2020/8/1 7:13
8017,2020/8/1 7:15
3289,2020/8/1 7:18
802,2020/8/1 7:23
3332,2020/8/1 7:28
1214,2020/8/1 7:33
1792,2020/8/1 7:40
4371,2020/8/1 7:42
5143,2020/8/1 7:44
1419,2020/8/1 7:47
6293,2020/8/1 7:49
5866,2020/8/1 7:53
5712,2020/8/1 7:55
7148,2020/8/1 7:58
5958,2020/8/1 8:01
5170,2020/8/1 8:05
5598,2020/8/1 8:08
5299,2020/8/1 8:10
3097,2020/8/1 8:13
3758,2020/8/1 8:15
515,2020/8/1 8:17
6240,2020/8/1 8:19
4581,2020/8/1 8:22
5397,2020/8/1 8:25
6484,2020/8/1 8:27
5101,2020/8/1 8:28
7447,2020/8/1 8:31
4944,2020/8/1 8:34
4538,2020/8/1 8:36
2702,2020/8/1 8:42
1902,2020/8/1 8:44
5472,2020/8/1 8:48
6637,2020/8/1 8:51
8022,2020/8/1 8:53
1391,2020/8/1 8:57
5330,2020/8/1 9:01
651,2020/8/1 9:04
5875,2020/8/1 9:08
5677,2020/8/1 9:12
1314,2020/8/1 9:18
5297,2020/8/1 9:20
7849,2020/8/1 9:24
4222,2020/8/1 9:28
5140,2020/8/1 9:31
3254,2020/8/1 9:38
1820,2020/8/1 9:48
6919,2020/8/1 9:56
3539,2020/8/1 10:02
1922,2020/8/1 10:06
425,2020/8/1 10:15
2859,2020/8/1 10:25
4745,2020/8/1 10:35
7502,2020/8/1 10:47
7212,2020/8/1 10:55
6480,2020/8/1 11:09
1798,2020/8/1 11:21
2256,2020/8/1 11:26
943,2020/8/1 11:34
5781,2020/8/1 11:52
7053,2020/8/1 12:03
3985,2020/8/1 12:09
822,2020/8/1 12:13
5534,2020/8/1 12:23
5781,2020/8/1 12:33
7861,2020/8/1 12:45
5718,2020/8/1 12:50
3964,2020/8/1 13:00
6101,2020/8/1 13:05
7704,2020/8/1 13:11
4529,2020/8/1 13:15
5197,2020/8/1 13:20
5842,2020/8/1 13:31
5116,2020/8/1 13:37
593,2020/8/1 13:43
7430,2020/8/1 13:53
3878,2020/8/1 14:01
924,2020/8/1 14:09
2484,2020/8/1 14:17
6625,2020/8/1 14:21
6414,2020/8/1 14:32
6911,2020/8/1 14:45
7392,2020/8/1 14:54
1124,2020/8/1 15:01
4762,2020/8/1 15:04
8114,2020/8/1 15:13
976,2020/8/1 15:18
1581,2020/8/1 15:26
1123,2020/8/1 15:28
4038,2020/8/1 15:35
822,2020/8/1 15:45
3013,2020/8/1 15:52
5550,2020/8/1 15:57
7706,2020/8/1 16:05
2859,2020/8/1 16:15
5390,2020/8/1 16:19
6762,2020/8/1 16:23
7268,2020/8/1 16:31
7622,2020/8/1 16:34
4343,2020/8/1 16:42
2098,2020/8/1 16:47
733,2020/8/1 16:55
6337,2020/8/1 17:02
6256,2020/8/1 17:06
3660,2020/8/1 17:11
5390,2020/8/1 17:13
3829,2020/8/1 17:17
7172,2020/8/1 17:19
5376,2020/8/1 17:23
2882,2020/8/1 17:26
3855,2020/8/1 17:28
778,2020/8/1 17:31
2444,2020/8/1 17:33
4364,2020/8/1 17:34
5781,2020/8/1 17:37
5593,2020/8/1 17:39
3312,2020/8/1 17:41
6548,2020/8/1 17:43
7774,2020/8/1 17:44
7830,2020/8/1 17:47
6036,2020/8/1 17:52
2023,2020/8/1 17:53
7527,2020/8/1 17:57
4426,2020/8/1 18:00
4452,2020/8/1 18:03
6637,2020/8/1 18:05
5228,2020/8/1 18:07
7046,2020/8/1 18:08
5489,2020/8/1 18:10
7518,2020/8/1 18:11
821,2020/8/1 18:13
2405,2020/8/1 18:16
2400,2020/8/1 18:18
265,2020/8/1 18:19
2616,2020/8/1 18:20
4885,2020/8/1 18:22
4512,2020/8/1 18:26
8088,2020/8/1 18:29
6714,2020/8/1 18:31
4514,2020/8/1 18:32
5868,2020/8/1 18:36
7180,2020/8/1 18:39
1982,2020/8/1 18:41
2778,2020/8/1 18:44
4203,2020/8/1 18:47
1959,2020/8/1 18:49
2347,2020/8/1 18:51
4877,2020/8/1 18:53
2043,2020/8/1 18:57
5211,2020/8/1 19:01
324,2020/8/1 19:03
3947,2020/8/1 19:06
7064,2020/8/1 19:08
6389,2020/8/1 19:11
1577,2020/8/1 19:14
8097,2020/8/1 19:18
5827,2020/8/1 19:20
5390,2020/8/1 19:23
5241,2020/8/1 19:26
3117,2020/8/1 19:28
1091,2020/8/1 19:34
4218,2020/8/1 19:35
7248,2020/8/1 19:40
6320,2020/8/1 19:42
2073,2020/8/1 19:44
5895,2020/8/1 19:48
1305,2020/8/1 19:52
3018,2020/8/1 19:56
5161,2020/8/1 19:57
7455,2020/8/1 19:59
7360,2020/8/1 20:01
3804,2020/8/1 20:07
7008,2020/8/1 20:11
874,2020/8/1 20:13
7823,2020/8/1 20:17
2989,2020/8/1 20:19
7507,2020/8/1 20:21
6157,2020/8/1 20:23
6278,2020/8/1 20:28
7345,2020/8/1 20:32
7366,2020/8/1 20:36
4435,2020/8/1 20:37
6015,2020/8/1 20:41
1985,2020/8/1 20:44
8040,2020/8/1 20:47
