class,lon,lat
交通设施服务,121.180367,31.161415
交通设施服务,121.166489,31.17358
交通设施服务,121.153336,31.164995
交通设施服务,121.193138,31.151411
交通设施服务,121.177567,31.227278
交通设施服务,121.170525,31.187895
商务住宅,121.347335,31.161168
商务住宅,121.36837,31.107447
商务住宅,121.282836,31.205883
商务住宅,121.345595,31.012068
商务住宅,121.342401,31.055215
商务住宅,121.409749,31.056489
商务住宅,121.406263,31.079772
商务住宅,121.270438,31.23916
科教文化服务,121.32557,31.12748
科教文化服务,121.236542,31.107054
科教文化服务,121.26235,31.064268
商务住宅,121.588332,31.300066
商务住宅,121.297733,31.202121
商务住宅,121.37231,31.104135
商务住宅,121.419912,31.01297
科教文化服务,121.191039,31.013692
科教文化服务,121.247536,31.006186
商务住宅,121.379653,31.09056
商务住宅,121.306967,31.101138
商务住宅,121.268525,31.02315
科教文化服务,121.507812,31.287992
科教文化服务,121.552284,31.309387
科教文化服务,121.504716,31.278101
交通设施服务,121.410748,31.172062
交通设施服务,121.447552,31.15283
交通设施服务,121.398172,31.172352
交通设施服务,121.467822,31.261938
交通设施服务,121.467978,31.2642
交通设施服务,121.437438,31.218444
交通设施服务,121.457241,31.234953
交通设施服务,121.438323,31.279587
交通设施服务,121.446916,31.26242
交通设施服务,121.458959,31.290312
交通设施服务,121.452786,31.298408
交通设施服务,121.430674,31.224532
交通设施服务,121.438392,31.221564
交通设施服务,121.445666,31.224771
交通设施服务,121.451469,31.228594
交通设施服务,121.451432,31.228758
交通设施服务,121.432767,31.277428
交通设施服务,121.453852,31.251497
公司企业,121.099503,31.258809
公司企业,121.146311,31.25635
商务住宅,121.316017,31.196056
商务住宅,121.383499,31.14781
商务住宅,121.385424,31.167181
商务住宅,121.386823,31.178439
商务住宅,121.509821,31.097688
商务住宅,121.507353,31.0971
商务住宅,121.362433,31.123179
商务住宅,121.38353,31.134137
风景名胜,121.44494,31.20235
风景名胜,121.458917,31.210203
交通设施服务,121.306514,31.06157
交通设施服务,121.299619,31.028838
商务住宅,121.353865,31.126213
商务住宅,121.372271,31.158856
商务住宅,121.410895,31.630731
商务住宅,121.411139,31.630717
商务住宅,121.410822,31.630417
商务住宅,121.411084,31.62973
商务住宅,121.410577,31.628838
商务住宅,121.412935,31.630985
商务住宅,121.412827,31.630641
商务住宅,121.413278,31.630263
商务住宅,121.414507,31.637715
商务住宅,121.414681,31.637615
商务住宅,121.4121,31.63744
商务住宅,121.412675,31.637458
商务住宅,121.4127,31.63715
商务住宅,121.41349,31.638744
商务住宅,121.43042,31.641149
商务住宅,121.430068,31.640476
商务住宅,121.430266,31.640354
风景名胜,121.547028,31.214338
风景名胜,121.391716,31.128914
风景名胜,121.417563,31.15433
交通设施服务,121.430849,31.369335
交通设施服务,121.415003,31.334705
公司企业,121.175232,31.248432
交通设施服务,121.40078,31.261324
交通设施服务,121.391235,31.240244
交通设施服务,121.371804,31.243355
交通设施服务,121.443284,31.24786
交通设施服务,121.448842,31.254065
交通设施服务,121.438242,31.242123
交通设施服务,121.437351,31.246141
交通设施服务,121.386719,31.308111
交通设施服务,121.427848,31.381818
交通设施服务,121.357923,31.388594
交通设施服务,121.443192,31.331841
交通设施服务,121.424868,31.391728
公司企业,121.046367,31.081464
